OrderID,PurchaseDate,DeliveryDate,Vendor,Product,Category,Location,Quantity,UnitPrice,OrderStatus,PaymentStatus,PaymentTerms,DeliveryDays,TotalCost,IsOnTime
ORD1018,8/11/2022,8/16/2022,Alpha Supplies,Product_4,Furniture,Russia,70,327.87,Delivered,Paid,Net 30,5,22950.9,TRUE
ORD1019,6/24/2023,7/1/2023,Theta Tech,Product_47,Furniture,Australia,61,364.93,Pending,Paid,Net 30,7,22260.73,TRUE
ORD1020,7/7/2022,7/16/2022,Delta Traders,Product_31,Electronics,Canada,26,5.35,Pending,Paid,Upon Delivery,9,139.1,FALSE
ORD1021,7/25/2023,8/3/2023,Delta Traders,Product_28,Electronics,France,71,468.74,Shipped,Paid,Net 30,9,33280.54,FALSE
ORD1022,11/27/2023,12/2/2023,Beta Corp,Product_11,Office Supplies,Japan,83,86.44,Pending,Paid,Net 30,5,7174.52,TRUE
ORD1023,2/2/2024,2/9/2024,Theta Tech,Product_43,Furniture,India,70,120.62,Delivered,Paid,Upon Delivery,7,8443.4,TRUE
ORD1024,1/19/2024,1/27/2024,Theta Tech,Product_1,Office Supplies,Japan,29,135.42,Shipped,Paid,Net 30,8,3927.18,FALSE
ORD1025,10/3/2022,10/7/2022,Alpha Supplies,Product_49,Furniture,Canada,66,23.72,Canceled,Paid,Net 60,4,1565.52,TRUE
ORD1026,9/6/2022,9/13/2022,Eta Logistics,Product_47,Office Supplies,India,19,65.91,Delivered,Paid,Upon Delivery,7,1252.29,TRUE
ORD1027,1/17/2022,1/22/2022,Beta Corp,Product_38,Office Supplies,France,68,493.24,Delivered,Unpaid,Net 30,5,33540.32,TRUE
ORD1028,6/20/2023,6/29/2023,Eta Logistics,Product_24,Machinery,Canada,58,161.03,Pending,Paid,Net 30,9,9339.74,FALSE
ORD1029,7/15/2023,7/23/2023,Beta Corp,Product_47,Office Supplies,France,70,62.07,Pending,Unpaid,Net 60,8,4344.9,FALSE
ORD1030,11/30/2022,12/7/2022,Delta Traders,Product_31,Electronics,Japan,57,57.96,Canceled,Paid,Upon Delivery,7,3303.72,TRUE
ORD1031,8/10/2023,8/14/2023,Beta Corp,Product_41,Office Supplies,Germany,37,361.13,Canceled,Paid,Upon Delivery,4,13361.81,TRUE
ORD1032,3/9/2023,3/13/2023,Beta Corp,Product_46,Furniture,India,61,428.01,Pending,Paid,Net 30,4,26108.61,TRUE
ORD1033,1/11/2023,1/17/2023,Beta Corp,Product_50,Office Supplies,Russia,92,132.19,Shipped,Paid,Net 60,6,12161.48,TRUE
ORD1034,11/25/2022,12/1/2022,Eta Logistics,Product_26,Electronics,Germany,30,15.35,Pending,Paid,Net 60,6,460.5,TRUE
ORD1035,3/7/2022,3/17/2022,Eta Logistics,Product_49,Office Supplies,Russia,71,115.43,Delivered,Unpaid,Net 60,10,8195.53,FALSE
ORD1036,2/18/2023,2/23/2023,Delta Traders,Product_50,Furniture,Japan,73,32.98,Shipped,Paid,Net 60,5,2407.54,TRUE
ORD1037,3/8/2023,3/15/2023,Delta Traders,Product_5,Electronics,India,25,56.18,Delivered,Paid,Net 60,7,1404.5,TRUE
ORD1038,9/5/2023,9/12/2023,Theta Tech,Product_20,Furniture,Germany,97,218.6,Canceled,Unpaid,Net 60,7,21204.2,TRUE
ORD1039,11/2/2023,11/12/2023,Theta Tech,Product_41,Electronics,Germany,65,118.81,Shipped,Unpaid,Upon Delivery,10,7722.65,FALSE
ORD1040,3/30/2023,4/8/2023,Delta Traders,Product_11,Office Supplies,Canada,6,260.39,Pending,Unpaid,Net 30,9,1562.34,FALSE
ORD1041,12/18/2023,12/27/2023,Delta Traders,Product_33,Office Supplies,Australia,18,130.48,Pending,Paid,Net 30,9,2348.64,FALSE
ORD1042,3/31/2024,4/10/2024,Eta Logistics,Product_50,Electronics,Japan,10,470.57,Delivered,Unpaid,Net 60,10,4705.7,FALSE
ORD1043,3/4/2022,3/13/2022,Beta Corp,Product_38,Office Supplies,France,92,453.44,Delivered,Paid,Upon Delivery,9,41716.48,FALSE
ORD1044,4/4/2023,4/10/2023,Eta Logistics,Product_27,Electronics,Japan,11,285.57,Delivered,Paid,Upon Delivery,6,3141.27,TRUE
ORD1045,6/22/2023,6/29/2023,Delta Traders,Product_34,Electronics,France,97,180.44,Pending,Paid,Net 60,7,17502.68,TRUE
ORD1046,4/16/2023,4/26/2023,Beta Corp,Product_15,Machinery,India,65,193.67,Canceled,Unpaid,Net 30,10,12588.55,FALSE
ORD1047,3/1/2024,3/8/2024,Alpha Supplies,Product_32,Furniture,France,77,208.87,Pending,Unpaid,Net 60,7,16082.99,TRUE
ORD1048,3/17/2023,3/21/2023,Eta Logistics,Product_21,Electronics,Russia,84,365.15,Delivered,Unpaid,Upon Delivery,4,30672.6,TRUE
ORD1049,10/17/2022,10/23/2022,Alpha Supplies,Product_46,Furniture,France,65,228.56,Delivered,Paid,Net 60,6,14856.4,TRUE
ORD1050,1/2/2022,1/10/2022,Delta Traders,Product_5,Electronics,France,52,429.08,Canceled,Paid,Net 30,8,22312.16,FALSE
ORD1051,11/22/2023,11/28/2023,Theta Tech,Product_6,Machinery,Canada,67,472.33,Delivered,Paid,Net 30,6,31646.11,TRUE
ORD1052,5/5/2023,5/15/2023,Eta Logistics,Product_38,Electronics,Germany,82,171.29,Pending,Paid,Upon Delivery,10,14045.78,FALSE
ORD1053,6/18/2022,6/26/2022,Alpha Supplies,Product_22,Office Supplies,Japan,78,282.54,Canceled,Paid,Net 60,8,22038.12,FALSE
ORD1054,12/29/2023,1/2/2024,Eta Logistics,Product_18,Furniture,Japan,31,52.05,Pending,Paid,Net 60,4,1613.55,TRUE
ORD1055,9/2/2022,9/12/2022,Delta Traders,Product_14,Machinery,India,91,104.23,Delivered,Paid,Upon Delivery,10,9484.93,FALSE
ORD1056,12/31/2023,1/5/2024,Alpha Supplies,Product_10,Office Supplies,India,17,209.67,Shipped,Unpaid,Net 60,5,3564.39,TRUE
ORD1057,9/20/2022,9/27/2022,Delta Traders,Product_46,Machinery,France,55,107.07,Delivered,Paid,Upon Delivery,7,5888.85,TRUE
ORD1058,5/25/2022,5/29/2022,Alpha Supplies,Product_13,Office Supplies,Australia,93,438.9,Shipped,Paid,Net 60,4,40817.7,TRUE
ORD1059,1/7/2022,1/14/2022,Beta Corp,Product_31,Electronics,Japan,36,83.35,Delivered,Paid,Net 30,7,3000.6,TRUE
ORD1060,7/19/2023,7/28/2023,Theta Tech,Product_30,Electronics,India,26,230.55,Delivered,Unpaid,Upon Delivery,9,5994.3,FALSE
ORD1061,10/6/2023,10/11/2023,Beta Corp,Product_3,Furniture,France,53,304.82,Shipped,Paid,Net 60,5,16155.46,TRUE
ORD1062,10/15/2023,10/20/2023,Theta Tech,Product_30,Office Supplies,India,17,347.47,Delivered,Paid,Net 60,5,5906.99,TRUE
ORD1063,7/18/2022,7/22/2022,Beta Corp,Product_6,Office Supplies,Russia,86,194.62,Canceled,Paid,Net 60,4,16737.32,TRUE
ORD1064,3/24/2023,3/29/2023,Beta Corp,Product_29,Electronics,Russia,25,435.2,Shipped,Paid,Upon Delivery,5,10880,TRUE
ORD1065,12/8/2023,12/16/2023,Eta Logistics,Product_8,Furniture,India,2,286.32,Shipped,Paid,Net 30,8,572.64,FALSE
ORD1066,7/3/2022,7/8/2022,Delta Traders,Product_44,Furniture,Russia,86,222.56,Shipped,Paid,Net 60,5,19140.16,TRUE
ORD1067,7/4/2023,7/11/2023,Beta Corp,Product_45,Electronics,India,5,38.28,Delivered,Unpaid,Upon Delivery,7,191.4,TRUE
ORD1068,2/9/2022,2/16/2022,Theta Tech,Product_43,Furniture,France,4,235.02,Canceled,Overdue,Net 60,7,940.08,TRUE
ORD1069,3/27/2024,4/6/2024,Beta Corp,Product_44,Electronics,Canada,36,411.26,Delivered,Paid,Net 30,10,14805.36,FALSE
ORD1070,1/21/2024,1/28/2024,Theta Tech,Product_33,Electronics,Australia,6,309.2,Delivered,Paid,Net 30,7,1855.2,TRUE
ORD1071,3/11/2023,3/21/2023,Delta Traders,Product_17,Electronics,France,21,416.92,Shipped,Unpaid,Net 30,10,8755.32,FALSE
ORD1072,8/4/2022,8/11/2022,Theta Tech,Product_48,Furniture,Canada,77,249.54,Delivered,Unpaid,Upon Delivery,7,19214.58,TRUE
ORD1073,1/10/2024,1/18/2024,Eta Logistics,Product_11,Electronics,Canada,89,63.64,Pending,Paid,Net 60,8,5663.96,FALSE
ORD1074,10/30/2023,11/9/2023,Beta Corp,Product_13,Furniture,Japan,26,11.75,Pending,Unpaid,Upon Delivery,10,305.5,FALSE
ORD1075,10/8/2022,10/14/2022,Theta Tech,Product_50,Electronics,France,55,155.09,Pending,Unpaid,Net 60,6,8529.95,TRUE
ORD1076,8/13/2022,8/22/2022,Delta Traders,Product_11,Furniture,France,39,350.51,Shipped,Paid,Upon Delivery,9,13669.89,FALSE
ORD1077,3/17/2022,3/21/2022,Delta Traders,Product_31,Electronics,India,84,396.18,Delivered,Paid,Net 60,4,33279.12,TRUE
ORD1078,5/16/2022,5/23/2022,Eta Logistics,Product_28,Electronics,Canada,33,151.4,Pending,Paid,Upon Delivery,7,4996.2,TRUE
ORD1079,5/19/2022,5/24/2022,Eta Logistics,Product_44,Furniture,Canada,14,250.35,Shipped,Paid,Net 60,5,3504.9,TRUE
ORD1080,3/12/2024,3/19/2024,Theta Tech,Product_6,Electronics,Canada,56,213.45,Delivered,Paid,Upon Delivery,7,11953.2,TRUE
ORD1081,7/14/2023,7/19/2023,Theta Tech,Product_41,Office Supplies,India,81,208.21,Delivered,Unpaid,Net 30,5,16865.01,TRUE
ORD1082,12/14/2022,12/23/2022,Delta Traders,Product_16,Electronics,Japan,21,119.52,Pending,Paid,Upon Delivery,9,2509.92,FALSE
ORD1083,10/4/2022,10/13/2022,Eta Logistics,Product_4,Electronics,France,46,72.5,Delivered,Unpaid,Net 30,9,3335,FALSE
ORD1084,2/19/2024,2/28/2024,Delta Traders,Product_35,Office Supplies,Canada,16,102.36,Delivered,Paid,Net 30,9,1637.76,FALSE
ORD1085,1/21/2022,1/26/2022,Beta Corp,Product_48,Office Supplies,Russia,16,32.39,Shipped,Paid,Net 60,5,518.24,TRUE
ORD1086,4/26/2023,5/3/2023,Theta Tech,Product_26,Furniture,France,84,103.07,Pending,Unpaid,Net 30,7,8657.88,TRUE
ORD1087,1/6/2023,1/15/2023,Eta Logistics,Product_12,Electronics,India,29,9.55,Shipped,Overdue,Net 30,9,276.95,FALSE
ORD1088,12/14/2022,12/22/2022,Eta Logistics,Product_11,Office Supplies,Japan,92,315.49,Shipped,Paid,Net 60,8,29025.08,FALSE
ORD1089,10/6/2023,10/16/2023,Alpha Supplies,Product_37,Furniture,Russia,8,161.61,Pending,Paid,Upon Delivery,10,1292.88,FALSE
ORD1090,4/2/2022,4/7/2022,Delta Traders,Product_25,Machinery,India,88,486.71,Delivered,Overdue,Upon Delivery,5,42830.48,TRUE
ORD1091,5/4/2023,5/9/2023,Beta Corp,Product_18,Electronics,Germany,3,100.89,Delivered,Paid,Net 30,5,302.67,TRUE
ORD1092,1/1/2024,1/8/2024,Theta Tech,Product_19,Machinery,France,89,176.19,Delivered,Paid,Upon Delivery,7,15680.91,TRUE
ORD1093,2/21/2023,2/26/2023,Eta Logistics,Product_23,Electronics,Germany,19,182.13,Shipped,Paid,Net 30,5,3460.47,TRUE
ORD1094,4/24/2022,4/29/2022,Eta Logistics,Product_38,Electronics,India,97,9.18,Delivered,Paid,Upon Delivery,5,890.46,TRUE
ORD1095,3/4/2023,3/13/2023,Eta Logistics,Product_18,Machinery,India,66,420.41,Delivered,Paid,Upon Delivery,9,27747.06,FALSE
ORD1096,8/2/2022,8/9/2022,Alpha Supplies,Product_26,Machinery,India,79,20.84,Pending,Unpaid,Upon Delivery,7,1646.36,TRUE
ORD1097,12/31/2022,1/9/2023,Delta Traders,Product_6,Furniture,Canada,86,470.39,Delivered,Paid,Net 30,9,40453.54,FALSE
ORD1098,3/16/2022,3/26/2022,Beta Corp,Product_4,Office Supplies,Japan,74,446.58,Delivered,Unpaid,Net 60,10,33046.92,FALSE
ORD1099,4/5/2023,4/15/2023,Eta Logistics,Product_44,Office Supplies,Canada,82,270.08,Pending,Paid,Upon Delivery,10,22146.56,FALSE
ORD1100,2/16/2024,2/25/2024,Delta Traders,Product_29,Machinery,Japan,22,274.08,Delivered,Unpaid,Upon Delivery,9,6029.76,FALSE
ORD1101,12/21/2022,12/31/2022,Beta Corp,Product_34,Furniture,Australia,46,328.62,Delivered,Unpaid,Upon Delivery,10,15116.52,FALSE
ORD1102,11/20/2023,11/27/2023,Delta Traders,Product_17,Office Supplies,Canada,91,196.59,Delivered,Paid,Net 30,7,17889.69,TRUE
ORD1103,6/11/2022,6/15/2022,Theta Tech,Product_43,Furniture,Germany,13,325.38,Canceled,Paid,Net 60,4,4229.94,TRUE
ORD1104,9/26/2023,10/5/2023,Delta Traders,Product_43,Furniture,Japan,33,27.16,Pending,Paid,Net 30,9,896.28,FALSE
ORD1105,1/14/2024,1/22/2024,Eta Logistics,Product_16,Electronics,Canada,5,31.75,Delivered,Unpaid,Upon Delivery,8,158.75,FALSE
ORD1106,1/15/2023,1/23/2023,Eta Logistics,Product_2,Office Supplies,France,90,231.33,Pending,Overdue,Net 30,8,20819.7,FALSE
ORD1107,11/26/2022,12/1/2022,Beta Corp,Product_34,Office Supplies,India,77,277.06,Delivered,Paid,Upon Delivery,5,21333.62,TRUE
ORD1108,4/2/2023,4/12/2023,Delta Traders,Product_8,Electronics,Japan,27,444.47,Shipped,Paid,Upon Delivery,10,12000.69,FALSE
ORD1109,10/21/2022,10/29/2022,Beta Corp,Product_13,Machinery,Japan,78,56.81,Delivered,Unpaid,Net 30,8,4431.18,FALSE
ORD1110,7/8/2022,7/13/2022,Alpha Supplies,Product_42,Electronics,Canada,24,412.21,Pending,Paid,Upon Delivery,5,9893.04,TRUE
ORD1111,8/22/2022,8/26/2022,Alpha Supplies,Product_8,Office Supplies,Australia,67,108.97,Shipped,Paid,Upon Delivery,4,7300.99,TRUE
ORD1112,2/22/2024,2/29/2024,Theta Tech,Product_30,Office Supplies,Canada,63,200.07,Shipped,Paid,Net 60,7,12604.41,TRUE
ORD1113,3/4/2023,3/11/2023,Delta Traders,Product_32,Machinery,Germany,94,161.72,Delivered,Unpaid,Net 30,7,15201.68,TRUE
ORD1114,10/4/2022,10/11/2022,Eta Logistics,Product_36,Electronics,Germany,99,203.08,Delivered,Paid,Net 30,7,20104.92,TRUE
ORD1115,6/9/2022,6/17/2022,Beta Corp,Product_47,Electronics,Japan,48,79.5,Canceled,Overdue,Upon Delivery,8,3816,FALSE
ORD1116,4/1/2023,4/5/2023,Theta Tech,Product_30,Electronics,Japan,63,254.27,Delivered,Paid,Upon Delivery,4,16019.01,TRUE
ORD1117,2/4/2023,2/12/2023,Beta Corp,Product_1,Machinery,Canada,78,401.81,Shipped,Paid,Net 30,8,31341.18,FALSE
ORD1118,5/1/2023,5/11/2023,Delta Traders,Product_43,Electronics,Germany,12,223.56,Canceled,Overdue,Net 30,10,2682.72,FALSE
ORD1119,4/28/2022,5/6/2022,Delta Traders,Product_39,Electronics,Germany,28,247.85,Canceled,Paid,Net 30,8,6939.8,FALSE
ORD1120,9/26/2023,9/30/2023,Theta Tech,Product_17,Furniture,Australia,44,425.14,Delivered,Unpaid,Upon Delivery,4,18706.16,TRUE
ORD1121,1/19/2022,1/23/2022,Alpha Supplies,Product_20,Office Supplies,France,93,354.5,Canceled,Paid,Net 60,4,32968.5,TRUE
ORD1122,5/27/2022,6/6/2022,Delta Traders,Product_24,Office Supplies,Australia,43,247.77,Pending,Overdue,Net 60,10,10654.11,FALSE
ORD1123,6/30/2023,7/4/2023,Alpha Supplies,Product_50,Machinery,Russia,17,132.56,Shipped,Paid,Upon Delivery,4,2253.52,TRUE
ORD1124,9/7/2022,9/11/2022,Theta Tech,Product_22,Office Supplies,India,40,443.04,Delivered,Paid,Upon Delivery,4,17721.6,TRUE
ORD1125,8/24/2023,8/31/2023,Eta Logistics,Product_29,Office Supplies,Australia,49,290.63,Delivered,Paid,Upon Delivery,7,14240.87,TRUE
ORD1126,10/31/2023,11/10/2023,Alpha Supplies,Product_22,Machinery,Canada,85,114.47,Delivered,Paid,Net 30,10,9729.95,FALSE
ORD1127,11/15/2022,11/21/2022,Eta Logistics,Product_44,Electronics,France,57,138.21,Delivered,Unpaid,Upon Delivery,6,7877.97,TRUE
ORD1128,1/26/2022,2/1/2022,Alpha Supplies,Product_9,Machinery,Canada,87,402.55,Pending,Unpaid,Net 30,6,35021.85,TRUE
ORD1129,3/28/2022,4/1/2022,Eta Logistics,Product_37,Office Supplies,India,84,26.85,Shipped,Paid,Net 60,4,2255.4,TRUE
ORD1130,9/4/2023,9/10/2023,Eta Logistics,Product_10,Office Supplies,Russia,64,496.09,Delivered,Paid,Upon Delivery,6,31749.76,TRUE
ORD1131,7/24/2022,7/30/2022,Theta Tech,Product_36,Office Supplies,France,75,69.52,Shipped,Unpaid,Upon Delivery,6,5214,TRUE
ORD1132,5/7/2022,5/11/2022,Delta Traders,Product_37,Office Supplies,Japan,57,399.05,Delivered,Paid,Net 30,4,22745.85,TRUE
ORD1133,10/14/2023,10/20/2023,Theta Tech,Product_28,Electronics,Germany,98,200.41,Delivered,Overdue,Net 30,6,19640.18,TRUE
ORD1134,10/27/2022,11/4/2022,Theta Tech,Product_28,Electronics,Australia,74,248.65,Delivered,Paid,Net 30,8,18400.1,FALSE
ORD1135,6/12/2023,6/17/2023,Delta Traders,Product_42,Machinery,Canada,74,440.92,Delivered,Unpaid,Net 60,5,32628.08,TRUE
ORD1136,11/15/2022,11/25/2022,Beta Corp,Product_43,Office Supplies,Russia,70,209.39,Shipped,Unpaid,Net 60,10,14657.3,FALSE
ORD1137,12/2/2023,12/7/2023,Theta Tech,Product_21,Machinery,Germany,88,271.06,Delivered,Unpaid,Upon Delivery,5,23853.28,TRUE
ORD1138,2/2/2023,2/6/2023,Theta Tech,Product_24,Office Supplies,Australia,76,29.4,Pending,Overdue,Upon Delivery,4,2234.4,TRUE
ORD1139,11/30/2023,12/7/2023,Theta Tech,Product_42,Electronics,Germany,43,6.16,Delivered,Unpaid,Net 30,7,264.88,TRUE
ORD1140,1/8/2023,1/18/2023,Theta Tech,Product_40,Electronics,Australia,23,126.18,Shipped,Paid,Net 60,10,2902.14,FALSE
ORD1141,3/25/2022,3/29/2022,Theta Tech,Product_2,Electronics,Japan,27,341.89,Delivered,Unpaid,Upon Delivery,4,9231.03,TRUE
ORD1142,5/3/2023,5/10/2023,Delta Traders,Product_8,Office Supplies,France,58,65.03,Delivered,Paid,Net 30,7,3771.74,TRUE
ORD1143,3/20/2023,3/25/2023,Alpha Supplies,Product_48,Electronics,Germany,37,61.31,Delivered,Paid,Net 30,5,2268.47,TRUE
ORD1144,12/11/2022,12/15/2022,Beta Corp,Product_27,Furniture,Germany,6,208.43,Delivered,Paid,Net 60,4,1250.58,TRUE
ORD1145,5/12/2023,5/22/2023,Alpha Supplies,Product_22,Machinery,Germany,65,325.68,Delivered,Paid,Net 60,10,21169.2,FALSE
ORD1146,12/29/2022,1/8/2023,Beta Corp,Product_37,Machinery,France,6,357.48,Shipped,Paid,Upon Delivery,10,2144.88,FALSE
ORD1147,8/6/2023,8/15/2023,Eta Logistics,Product_27,Office Supplies,Russia,50,93.33,Pending,Paid,Upon Delivery,9,4666.5,FALSE
ORD1148,9/11/2023,9/19/2023,Theta Tech,Product_29,Electronics,Australia,22,44.4,Pending,Paid,Net 30,8,976.8,FALSE
ORD1149,2/19/2022,2/25/2022,Delta Traders,Product_3,Office Supplies,Japan,88,470.5,Pending,Paid,Net 30,6,41404,TRUE
ORD1150,6/16/2022,6/23/2022,Beta Corp,Product_44,Office Supplies,Germany,25,134.03,Delivered,Unpaid,Net 30,7,3350.75,TRUE
ORD1151,5/15/2022,5/24/2022,Theta Tech,Product_13,Office Supplies,India,79,427.41,Delivered,Paid,Upon Delivery,9,33765.39,FALSE
ORD1152,6/24/2022,6/30/2022,Beta Corp,Product_45,Electronics,France,90,432.43,Shipped,Unpaid,Net 60,6,38918.7,TRUE
ORD1153,2/28/2022,3/6/2022,Beta Corp,Product_10,Machinery,Russia,72,387.4,Shipped,Overdue,Upon Delivery,6,27892.8,TRUE
ORD1154,3/25/2022,3/29/2022,Alpha Supplies,Product_36,Office Supplies,Australia,51,88.57,Shipped,Paid,Net 60,4,4517.07,TRUE
ORD1155,10/6/2022,10/12/2022,Eta Logistics,Product_9,Electronics,France,88,411.79,Shipped,Unpaid,Upon Delivery,6,36237.52,TRUE
ORD1156,9/23/2023,10/1/2023,Eta Logistics,Product_27,Electronics,Japan,48,385.78,Delivered,Overdue,Upon Delivery,8,18517.44,FALSE
ORD1157,6/18/2023,6/28/2023,Delta Traders,Product_34,Office Supplies,Japan,70,300.38,Delivered,Unpaid,Net 60,10,21026.6,FALSE
ORD1158,7/21/2022,7/30/2022,Eta Logistics,Product_1,Office Supplies,Australia,99,171.92,Delivered,Overdue,Upon Delivery,9,17020.08,FALSE
ORD1159,5/11/2022,5/17/2022,Delta Traders,Product_32,Office Supplies,Germany,65,134.94,Delivered,Paid,Upon Delivery,6,8771.1,TRUE
ORD1160,7/27/2022,7/31/2022,Theta Tech,Product_25,Office Supplies,Japan,60,65.34,Delivered,Paid,Net 30,4,3920.4,TRUE
ORD1161,12/4/2022,12/12/2022,Theta Tech,Product_29,Machinery,Russia,46,257.33,Delivered,Unpaid,Net 60,8,11837.18,FALSE
ORD1162,9/30/2023,10/5/2023,Delta Traders,Product_7,Office Supplies,France,36,294.7,Pending,Paid,Net 60,5,10609.2,TRUE
ORD1163,2/12/2022,2/22/2022,Beta Corp,Product_49,Electronics,Russia,58,182.87,Shipped,Paid,Net 30,10,10606.46,FALSE
ORD1164,4/6/2023,4/16/2023,Eta Logistics,Product_3,Office Supplies,Germany,76,240.3,Canceled,Paid,Net 60,10,18262.8,FALSE
ORD1165,6/3/2023,6/12/2023,Theta Tech,Product_20,Machinery,Russia,38,184.94,Shipped,Paid,Net 30,9,7027.72,FALSE
ORD1166,12/3/2022,12/13/2022,Theta Tech,Product_20,Electronics,Russia,11,322.3,Delivered,Paid,Net 60,10,3545.3,FALSE
ORD1167,2/6/2022,2/12/2022,Delta Traders,Product_30,Machinery,Canada,12,451.12,Delivered,Unpaid,Net 60,6,5413.44,TRUE
ORD1168,12/14/2023,12/18/2023,Beta Corp,Product_35,Office Supplies,Russia,42,86.14,Pending,Paid,Net 60,4,3617.88,TRUE
ORD1169,8/8/2022,8/18/2022,Beta Corp,Product_35,Electronics,Australia,39,193.8,Delivered,Paid,Net 60,10,7558.2,FALSE
ORD1170,8/14/2023,8/24/2023,Alpha Supplies,Product_49,Office Supplies,France,71,74.73,Delivered,Paid,Net 30,10,5305.83,FALSE
ORD1171,2/11/2024,2/16/2024,Delta Traders,Product_39,Furniture,Canada,11,314.35,Delivered,Paid,Net 30,5,3457.85,TRUE
ORD1172,5/7/2023,5/12/2023,Beta Corp,Product_27,Machinery,France,36,365.79,Delivered,Paid,Net 60,5,13168.44,TRUE
ORD1173,5/15/2022,5/22/2022,Beta Corp,Product_26,Machinery,France,52,466.3,Pending,Paid,Upon Delivery,7,24247.6,TRUE
ORD1174,5/7/2022,5/15/2022,Eta Logistics,Product_14,Electronics,Germany,31,143.04,Delivered,Unpaid,Net 30,8,4434.24,FALSE
ORD1175,9/3/2023,9/9/2023,Eta Logistics,Product_17,Office Supplies,Germany,33,475.35,Pending,Paid,Net 60,6,15686.55,TRUE
ORD1176,8/8/2023,8/18/2023,Alpha Supplies,Product_18,Electronics,Canada,13,36.32,Pending,Paid,Net 30,10,472.16,FALSE
ORD1177,2/5/2024,2/15/2024,Delta Traders,Product_45,Electronics,Japan,18,303.49,Delivered,Paid,Upon Delivery,10,5462.82,FALSE
ORD1178,7/31/2022,8/4/2022,Delta Traders,Product_29,Electronics,India,41,33.28,Delivered,Paid,Upon Delivery,4,1364.48,TRUE
ORD1179,11/23/2023,11/30/2023,Eta Logistics,Product_20,Electronics,Germany,58,447.42,Delivered,Paid,Upon Delivery,7,25950.36,TRUE
ORD1180,2/19/2024,2/27/2024,Delta Traders,Product_27,Office Supplies,India,56,267.26,Delivered,Paid,Net 60,8,14966.56,FALSE
ORD1181,12/1/2023,12/8/2023,Theta Tech,Product_18,Office Supplies,Germany,24,336.33,Canceled,Paid,Net 60,7,8071.92,TRUE
ORD1182,1/22/2024,1/31/2024,Theta Tech,Product_4,Office Supplies,Germany,73,416.63,Canceled,Paid,Upon Delivery,9,30413.99,FALSE
ORD1183,9/22/2022,9/30/2022,Delta Traders,Product_1,Machinery,France,31,79.4,Pending,Paid,Net 30,8,2461.4,FALSE
